Wall time,Step,Value
1780935321.042856,4500,21.09189224243164
1780935716.1703684,9000,19.86395263671875
1780936110.972275,13500,19.0838680267334
1780936511.666605,18000,19.03352928161621
1780936911.7004406,22500,16.08594512939453
1780937309.3986716,27000,17.233062744140625
1780937704.9278111,31500,16.15241050720215
1780938096.7258272,36000,19.167482376098633
1780938484.0145588,40500,18.669330596923828
1780938871.0572283,45000,17.523393630981445
1780939260.5382843,49500,20.501272201538086
1780939643.715801,54000,22.414859771728516
1780940033.1273193,58500,18.275463104248047
1780940426.2206242,63000,19.559860229492188
1780940818.021257,67500,21.750144958496094
1780941200.3896155,72000,21.410146713256836
1780941588.5980217,76500,21.789133071899414
1780941982.9464781,81000,15.409734725952148
1780942373.2123582,85500,19.499296188354492
1780942761.9874074,90000,22.18395233154297
1780943148.6113548,94500,17.609699249267578
1780943531.1978235,99000,20.252349853515625
1780943910.400846,103500,23.291410446166992
1780944293.0431893,108000,19.6570987701416
1780944675.778361,112500,24.45998764038086
1780945055.7998886,117000,23.485084533691406
1780945433.7661421,121500,26.78066062927246
1780945817.2660835,126000,22.647180557250977
1780946196.813753,130500,26.308012008666992
1780946577.6587155,135000,25.79802703857422
1780946953.9331872,139500,28.569021224975586
1780947325.2281027,144000,29.37229347229004
1780947699.5649595,148500,26.587648391723633
1780948076.641401,153000,26.53133773803711
1780948461.3450859,157500,25.27802276611328
1780948853.8450158,162000,21.76348876953125
1780949225.7692032,166500,28.09590721130371
1780949600.4488716,171000,28.485681533813477
1780949984.865741,175500,24.780981063842773
1780950364.358657,180000,26.027206420898438
1780950742.1376176,184500,30.094209671020508
1780951117.1197345,189000,29.865556716918945
1780951492.9254105,193500,29.500934600830078
1780951870.3903959,198000,26.76521873474121
1780952249.930151,202500,27.154817581176758
1780952623.6245854,207000,30.766199111938477
1780952999.332699,211500,30.674802780151367
1780953366.309623,216000,33.53749084472656
1780953739.1574447,220500,30.503210067749023
1780954114.9747324,225000,30.71735954284668
1780954489.2891352,229500,31.870141983032227
1780954853.746698,234000,35.900203704833984
1780955223.2610867,238500,34.25726318359375
1780955596.8372416,243000,31.92259979248047
1780955972.0448003,247500,31.300071716308594
1780956343.6270397,252000,33.472347259521484
1780956720.2992628,256500,30.107624053955078
1780957091.0263052,261000,37.20440673828125
1780957463.2183192,265500,34.58278274536133
1780957837.1057324,270000,34.145572662353516
1780958207.4818556,274500,34.95363998413086
1780958580.4012656,279000,31.641645431518555
1780958954.757972,283500,34.891761779785156
1780959330.4986293,288000,34.432273864746094
1780959701.758909,292500,37.85363006591797
1780960071.3538535,297000,38.78302764892578
1780960442.0078847,301500,33.847808837890625
1780960805.268573,306000,42.35991668701172
1780961177.9967473,310500,37.030941009521484
1780961544.4619682,315000,38.80575180053711
1780961917.4864311,319500,39.091365814208984
1780962291.5254474,324000,33.86318588256836
1780962659.1937506,328500,39.79452133178711
1780963029.8473794,333000,37.50346374511719
1780963395.5948887,337500,41.32248306274414
1780963766.9594195,342000,37.8001708984375
1780964137.6008434,346500,38.58937454223633
1780964511.33737,351000,37.53956985473633
1780964876.519694,355500,41.242958068847656
1780965247.4649332,360000,40.23752975463867
1780965621.1262984,364500,35.325260162353516
1780965974.931359,369000,37.57085418701172
1780966295.3002272,373500,35.0858268737793
1780966619.8449528,378000,34.511287689208984
1780966940.3020504,382500,39.883201599121094
1780967263.8103032,387000,36.29398727416992
1780967579.7162616,391500,40.459815979003906
1780967897.9901986,396000,40.94868087768555
1780968219.1301599,400500,38.51242446899414
1780968536.5894425,405000,42.99958801269531
1780968853.8768687,409500,41.61903381347656
1780969171.4438486,414000,41.627872467041016
1780969488.5942333,418500,41.50849151611328
1780969812.216713,423000,35.04643249511719
1780970131.0673256,427500,40.71882629394531
1780970449.680253,432000,41.578277587890625
1780970769.8870406,436500,42.97745895385742
1780971093.0691268,441000,39.61763000488281
1780971412.024794,445500,42.54839324951172
1780971732.6764877,450000,39.58626174926758
1780972047.0678911,454500,41.186038970947266
1780972360.9337683,459000,44.607601165771484
1780972680.7741137,463500,38.99415588378906
1780972989.7772977,468000,46.76470184326172
1780973305.0829287,472500,44.959075927734375
1780973622.5389004,477000,41.46601867675781
1780973936.7127957,481500,43.781803131103516
1780974252.879828,486000,44.26166534423828
1780974566.598514,490500,47.26088333129883
1780974885.440668,495000,42.451194763183594
1780975202.561958,499500,41.56853485107422
1780975520.9152114,504000,42.33012390136719
1780975834.3152206,508500,45.401710510253906
1780976152.5758467,513000,42.859107971191406
1780976473.2087278,517500,41.592987060546875
1780976786.7118025,522000,48.29905700683594
1780977105.932689,526500,43.92262268066406
1780977425.1340568,531000,44.263343811035156
1780977739.6603823,535500,45.924373626708984
1780978055.8301768,540000,43.187503814697266
1780978372.3961473,544500,42.2181510925293
1780978684.9368093,549000,47.40513610839844
1780979002.2530274,553500,44.80195236206055
1780979317.5207691,558000,41.838077545166016
1780979628.0308805,562500,45.932315826416016
1780979941.692477,567000,46.193458557128906
1780980255.6312459,571500,45.308753967285156
1780980571.5665572,576000,45.75522232055664
1780980888.4810398,580500,46.70003128051758
1780981205.3368435,585000,43.10717010498047
1780981525.3272207,589500,44.38456344604492
1780981843.4831455,594000,44.44526672363281
1780982150.496572,598500,49.34690856933594
1780982462.3550856,603000,46.31230926513672
1780982777.4345531,607500,42.48506546020508
1780983095.2894213,612000,43.75015640258789
1780983412.920893,616500,45.89647674560547
1780983726.0636156,621000,47.20030975341797
1780984042.0806549,625500,42.399532318115234
1780984358.58385,630000,44.27225112915039
1780984676.6215804,634500,45.61522674560547
1780984989.9992547,639000,47.09149169921875
1780985308.1043303,643500,43.35251235961914
1780985629.5074852,648000,43.960899353027344
1780985946.1606848,652500,46.876380920410156
1780986260.7780561,657000,46.95913314819336
1780986573.3689241,661500,47.918663024902344
1780986888.2352862,666000,43.71424865722656
1780987200.2783191,670500,45.303401947021484
1780987513.1507134,675000,47.24018859863281
1780987827.7185645,679500,45.47568130493164
1780988148.5015066,684000,46.21026611328125
1780988466.453687,688500,45.89025115966797
1780988786.4962034,693000,42.38994216918945
1780989101.6153612,697500,47.060054779052734
1780989418.4441638,702000,47.2265510559082
1780989737.2699876,706500,45.6751594543457
1780990054.5572937,711000,45.91878890991211
1780990369.4503393,715500,46.089881896972656
1780990683.0486157,720000,46.21768569946289
1780991003.4684997,724500,46.98330307006836
1780991323.8129022,729000,46.17466354370117
1780991643.2075436,733500,45.855369567871094
1780991963.3712866,738000,47.53193283081055
1780992274.7450502,742500,47.3983154296875
1780992591.5102756,747000,45.98814010620117
1780992903.6331937,751500,53.66869354248047
1780993221.546013,756000,46.745689392089844
1780993538.9116428,760500,45.73746109008789
1780993854.8534696,765000,46.58057403564453
1780994172.7331102,769500,44.05137634277344
1780994485.8238103,774000,48.81349563598633
1780994797.9900358,778500,51.673831939697266
1780995117.2675984,783000,49.53482437133789
1780995441.9714682,787500,45.14485168457031
1780995761.593941,792000,47.624229431152344
1780996078.3826623,796500,47.40903091430664
1780996388.3020756,801000,51.23987579345703
1780996702.6928678,805500,47.41584777832031
1780997014.5923636,810000,50.3654899597168
1780997330.1086895,814500,45.522010803222656
1780997646.2798738,819000,46.74009323120117
1780997964.4695506,823500,45.742897033691406
1780998278.245049,828000,49.51743698120117
1780998596.704199,832500,44.995933532714844
1780998917.1804056,837000,45.85166931152344
1780999235.2376075,841500,46.68002700805664
1780999547.1783662,846000,49.95310592651367
1780999865.1983776,850500,43.859249114990234
1781000181.690205,855000,46.34537887573242
1781000497.5450335,859500,44.97945785522461
1781000842.1697083,864000,54.420867919921875
1781001210.1159842,868500,51.44123077392578
1781001574.9290142,873000,51.836387634277344
1781001951.8867273,877500,45.91115188598633
1781002326.2436814,882000,46.30522155761719
1781002702.864321,886500,43.6878776550293
1781003073.389182,891000,48.10576248168945
1781003435.0135252,895500,53.38319396972656
1781003809.057136,900000,46.954837799072266
1781004168.585626,904500,47.14802169799805
1781004500.3361773,909000,48.315250396728516
1781004829.3744261,913500,44.99883270263672
1781005153.2226622,918000,46.710205078125
1781005517.3121934,922500,48.174015045166016
1781005891.1050267,927000,46.295536041259766
1781006256.1771207,931500,50.13215637207031
1781006624.9274132,936000,47.64044189453125
1781006994.8105912,940500,47.3194580078125
1781007366.0838363,945000,49.01451110839844
1781007739.0176415,949500,48.0444221496582
1781008107.6869574,954000,50.18144989013672
1781008476.057271,958500,48.887020111083984
1781008848.587268,963000,47.220096588134766
1781009214.9826958,967500,48.9261360168457
1781009584.245696,972000,48.89894104003906
1781009944.586946,976500,53.917362213134766
1781010310.2018583,981000,50.19820785522461
1781010684.0328069,985500,45.683101654052734
1781011053.8908582,990000,49.091400146484375
1781011423.0393689,994500,48.41653823852539
1781011790.581761,999000,49.736446380615234
1781012166.4960313,1003500,46.273799896240234
1781012542.397575,1008000,48.87470245361328
1781012916.6988475,1012500,45.68925476074219
1781013290.966743,1017000,48.76589584350586
1781013658.7569714,1021500,50.20640563964844
1781014028.7372046,1026000,48.87742233276367
1781014400.6492796,1030500,46.130149841308594
1781014773.4739473,1035000,45.63645553588867
1781015143.0964687,1039500,49.7191276550293
1781015513.0141003,1044000,47.31947708129883
1781015885.9806678,1048500,47.35457992553711
1781016259.6582794,1053000,47.7943000793457
1781016636.011824,1057500,47.50592803955078
1781017004.9876351,1062000,51.5355110168457
1781017378.272644,1066500,47.17497634887695
1781017747.6141174,1071000,49.00689697265625
1781018121.0698903,1075500,48.70607376098633
1781018488.6792505,1080000,51.752105712890625
1781018861.601653,1084500,46.74010467529297
1781019226.7685924,1089000,50.851470947265625
1781019597.5794344,1093500,49.72821807861328
1781019973.5216756,1098000,47.08063507080078
1781020347.5859761,1102500,45.82536697387695
1781020715.2882433,1107000,49.41564178466797
1781021086.2610245,1111500,49.874755859375
1781021459.583751,1116000,48.579200744628906
1781021835.0427108,1120500,47.608482360839844
1781022208.9524093,1125000,48.315311431884766
1781022582.4751945,1129500,48.76102066040039
1781022953.773246,1134000,48.584754943847656
1781023326.7442415,1138500,47.65178680419922
1781023697.0608828,1143000,50.16316223144531
1781024068.0213602,1147500,47.56559753417969
1781024443.3232267,1152000,48.63473129272461
1781024813.2561622,1156500,51.005882263183594
1781025180.7245212,1161000,50.75316619873047
1781025552.8332207,1165500,48.52925109863281
1781025926.6343498,1170000,47.530921936035156
1781026298.8978722,1174500,47.995235443115234
1781026667.0957136,1179000,50.469032287597656
1781027038.5041409,1183500,46.652626037597656
1781027409.686951,1188000,49.32169723510742
1781027782.0886233,1192500,49.31382751464844
1781028160.6412644,1197000,48.089874267578125
1781028529.078143,1201500,50.018436431884766
1781028904.5785682,1206000,47.51710891723633
1781029279.7838519,1210500,47.29415512084961
1781029640.502003,1215000,53.856178283691406
1781030013.1005652,1219500,48.17022705078125
1781030384.8658726,1224000,47.87311553955078
1781030757.6533384,1228500,49.6385383605957
1781031125.5713644,1233000,50.92591094970703
1781031493.6225471,1237500,48.69873046875
1781031862.673252,1242000,52.71785354614258
1781032244.3429005,1246500,44.06406784057617
1781032617.8840966,1251000,49.26409149169922
1781032988.6815443,1255500,49.543128967285156
1781033352.936276,1260000,50.64268493652344
1781033727.0293736,1264500,46.91693115234375
1781034098.2241397,1269000,49.57498550415039
1781034468.1108606,1273500,48.26025390625
1781034844.4816206,1278000,48.83767318725586
1781035220.4119127,1282500,49.088497161865234
1781035589.746082,1287000,49.031314849853516
1781035968.42392,1291500,44.8304443359375
1781036336.9002168,1296000,50.40650939941406
1781036707.5979095,1300500,47.811790466308594
1781037080.3861284,1305000,48.61643981933594
1781037456.529895,1309500,46.655582427978516
1781037828.5559952,1314000,45.78727340698242
1781038204.8223252,1318500,46.83147430419922
1781038576.397461,1323000,47.50118637084961
1781038950.2318413,1327500,50.4109001159668
1781039318.5034156,1332000,51.32951354980469
1781039692.4515796,1336500,48.09453201293945
1781040061.5373092,1341000,48.604278564453125
1781040439.6069405,1345500,46.265098571777344
1781040810.532348,1350000,49.50453567504883
1781041175.7459202,1354500,51.20246505737305
1781041542.4540334,1359000,51.99728012084961
1781041909.967104,1363500,50.18881607055664
1781042279.3237603,1368000,48.99345779418945
1781042654.8712015,1372500,48.07295227050781
1781043027.6798923,1377000,47.192317962646484
1781043397.3186698,1381500,48.5836067199707
1781043776.9905672,1386000,45.33799362182617
1781044145.7608047,1390500,50.32284927368164
1781044514.7287085,1395000,50.47640609741211
1781044875.6766815,1399500,48.19900894165039
1781045245.558408,1404000,48.882720947265625
1781045619.9017107,1408500,46.83293151855469
1781045949.3129563,1413000,51.357269287109375
1781046264.0225165,1417500,47.3583984375
1781046578.9019632,1422000,48.041812896728516
1781046897.434287,1426500,46.653236389160156
1781047206.9325395,1431000,51.41307067871094
1781047520.0198612,1435500,50.2081298828125
1781047836.4945898,1440000,46.353214263916016
1781048151.1412482,1444500,46.80277633666992
1781048466.9858189,1449000,48.488319396972656
1781048781.0667527,1453500,49.600486755371094
1781049093.5906427,1458000,48.317569732666016
1781049408.6898696,1462500,47.710445404052734
1781049724.2238328,1467000,47.576663970947266
1781050038.8356252,1471500,47.807945251464844
1781050351.2559936,1476000,49.38300323486328
1781050661.5866606,1480500,50.65469741821289
1781050977.9410782,1485000,45.71641159057617
1781051289.0468013,1489500,50.54404067993164
1781051604.6133406,1494000,45.56017303466797
1781051915.507641,1498500,48.85032272338867
1781052228.5757887,1503000,48.28385925292969
1781052545.65096,1507500,46.00674057006836
1781052897.5314858,1512000,49.77419662475586
1781053262.1221917,1516500,51.172943115234375
1781053623.5543373,1521000,53.9028434753418
1781053997.1269739,1525500,49.19588088989258
1781054368.6920516,1530000,48.230525970458984
1781054735.2130213,1534500,49.79190444946289
1781055101.347349,1539000,51.837249755859375
1781055472.335524,1543500,48.8012580871582
1781055844.8616803,1548000,47.45610427856445
1781056220.540457,1552500,45.69743347167969
1781056594.947729,1557000,47.733489990234375
1781056963.877401,1561500,50.91971206665039
1781057326.470697,1566000,52.19593048095703
1781057700.5805483,1570500,47.198760986328125
1781058076.0537047,1575000,46.058597564697266
1781058448.7798376,1579500,46.1997184753418
1781058822.381346,1584000,48.01560592651367
1781059198.0527184,1588500,46.8897705078125
1781059571.3406818,1593000,48.77095031738281
1781059950.2719014,1597500,44.11042404174805
1781060315.6472259,1602000,49.73398208618164
1781060693.5554597,1606500,46.66527557373047
1781061068.128558,1611000,49.3535041809082
1781061442.3039417,1615500,46.35268783569336
1781061817.275181,1620000,48.06902313232422
1781062186.027624,1624500,51.149269104003906
1781062561.5483944,1629000,47.045684814453125
1781062931.7112973,1633500,50.027992248535156
1781063294.5531805,1638000,53.19041061401367
1781063668.4083357,1642500,47.855751037597656
1781064042.7501478,1647000,48.28411865234375
1781064413.9311442,1651500,48.29740905761719
1781064785.4793024,1656000,48.684669494628906
1781065153.8427074,1660500,49.81578826904297
1781065532.082913,1665000,44.32670211791992
1781065901.789501,1669500,50.62154769897461
1781066273.8864625,1674000,49.588863372802734
1781066644.6011155,1678500,50.47090148925781
1781067011.3539708,1683000,52.10822677612305
1781067383.9312828,1687500,47.571617126464844
1781067756.579673,1692000,49.46315383911133
1781068127.162276,1696500,49.98495101928711
1781068498.4471598,1701000,48.363094329833984
1781068869.345657,1705500,49.106990814208984
1781069245.5385354,1710000,45.79885482788086
1781069614.6225042,1714500,49.2379264831543
1781069991.9704616,1719000,47.936580657958984
1781070362.3394232,1723500,50.09602737426758
1781070729.1380641,1728000,50.587833404541016
1781071096.8324478,1732500,51.8271369934082
1781071462.9847658,1737000,50.97083282470703
1781071832.1193655,1741500,49.30188751220703
1781072207.5346148,1746000,45.38750076293945
1781072574.6172328,1750500,49.37166976928711
1781072949.6679015,1755000,47.26829147338867
1781073317.0939019,1759500,50.23403549194336
1781073686.7778401,1764000,49.31547546386719
1781074065.8297238,1768500,46.972923278808594
1781074435.4360187,1773000,46.12732696533203
1781074800.8625607,1777500,51.22764587402344
1781075169.5483088,1782000,50.46377944946289
1781075543.6913369,1786500,47.52342224121094
1781075917.547454,1791000,46.15233612060547
1781076290.3638482,1795500,49.147705078125
1781076660.8830328,1800000,48.86310958862305
1781077032.7800517,1804500,48.38307571411133
1781077410.4836059,1809000,48.386016845703125
1781077780.7348366,1813500,47.95880126953125
1781078157.3084362,1818000,46.783050537109375
1781078531.1682115,1822500,47.6517448425293
1781078893.1823266,1827000,53.89271926879883
1781079266.804133,1831500,48.944061279296875
1781079633.3774679,1836000,51.65571594238281
1781079992.08767,1840500,47.595516204833984
1781080311.1863573,1845000,50.09450912475586
1781080626.5438564,1849500,48.23520278930664
1781080941.795803,1854000,47.390419006347656
1781081255.0120368,1858500,49.790855407714844
1781081565.408882,1863000,51.05073165893555
1781081888.576245,1867500,49.691505432128906
1781082261.5228682,1872000,49.920143127441406
1781082632.4407935,1876500,47.530948638916016
1781083005.033335,1881000,47.062957763671875
1781083377.1221204,1885500,50.423309326171875
1781083750.4396992,1890000,49.107688903808594
1781084116.6207612,1894500,52.49576187133789
1781084480.650072,1899000,49.56144714355469
1781084794.5963867,1903500,50.79816818237305
1781085107.8312953,1908000,50.34882736206055
1781085419.063738,1912500,50.2856330871582
1781085765.8457084,1917000,51.05148696899414
1781086133.16032,1921500,50.69129180908203
1781086504.112215,1926000,49.02793502807617
1781086875.8101304,1930500,48.751094818115234
1781087249.2092643,1935000,48.43623733520508
1781087618.7912893,1939500,50.06925964355469
1781087992.4895048,1944000,45.620384216308594
1781088357.2250967,1948500,51.152347564697266
1781088693.5148425,1953000,47.645172119140625
1781089008.966374,1957500,48.15668487548828
1781089320.299572,1962000,52.09748840332031
1781089639.4255311,1966500,45.132877349853516
1781090005.7779016,1971000,46.47020721435547
1781090377.1966257,1975500,48.77048110961914
1781090753.3313012,1980000,47.54051208496094
1781091127.6474576,1984500,48.39613723754883
1781091498.903831,1989000,50.53688049316406
1781091868.9113634,1993500,50.90290451049805
1781092239.34944,1998000,48.76385498046875
1781092608.3679352,2002500,49.99607849121094
1781092972.3704453,2007000,50.187538146972656
1781093344.5447543,2011500,47.72982406616211
1781093716.3944402,2016000,48.8975944519043
1781094083.322375,2020500,49.48942565917969
1781094454.151179,2025000,50.168426513671875
1781094827.733287,2029500,48.93650817871094
1781095166.8431985,2034000,48.31947326660156
1781095501.414389,2038500,48.95887756347656
1781095823.0081508,2043000,51.65187454223633
1781096157.7627974,2047500,44.51797103881836
1781096482.308544,2052000,49.39699172973633
1781096813.0759552,2056500,49.07011032104492
1781097137.5238059,2061000,48.355224609375
1781097462.0534298,2065500,47.71202850341797
1781097788.2468204,2070000,50.863914489746094
1781098118.679877,2074500,48.06187438964844
1781098446.9755685,2079000,47.85771179199219
1781098768.9393184,2083500,51.42229461669922
1781099080.6784942,2088000,53.72465515136719
1781099401.164101,2092500,47.09074020385742
1781099718.1141214,2097000,49.781009674072266
