Wall time,Step,Value
1783123498.4468093,4500,16.380462646484375
1783123887.731845,9000,16.847488403320312
1783124275.6497283,13500,18.394018173217773
1783124664.7278912,18000,17.688949584960938
1783125046.6037674,22500,18.69386100769043
1783125438.303253,27000,15.2814302444458
1783125810.9692514,31500,23.67197608947754
1783126198.6575165,36000,15.676834106445312
1783126576.817673,40500,19.163999557495117
1783126946.601199,45000,22.487749099731445
1783127327.0574317,49500,18.880237579345703
1783127700.663989,54000,23.470552444458008
1783128073.8676546,58500,21.47195816040039
1783128452.8144739,63000,21.501453399658203
1783128816.5229366,67500,26.268312454223633
1783129190.3642755,72000,22.579120635986328
1783129564.8793907,76500,20.828466415405273
1783129935.5545387,81000,21.829580307006836
1783130307.6816487,85500,20.797359466552734
1783130679.431799,90000,23.29120635986328
1783131039.8479443,94500,26.396453857421875
1783131396.845445,99000,29.73585319519043
1783131751.1498094,103500,31.12711524963379
1783132116.2159407,108000,24.62465476989746
1783132483.837045,112500,23.3861083984375
1783132848.080802,117000,26.73651695251465
1783133218.9910452,121500,22.049118041992188
1783133584.8285024,126000,26.431535720825195
1783133948.6301808,130500,25.138498306274414
1783134314.7972755,135000,24.585039138793945
1783134671.7673278,139500,28.212865829467773
1783135030.6895359,144000,25.691280364990234
1783135380.910294,148500,32.445762634277344
1783135736.8089828,153000,30.943979263305664
1783136098.3345656,157500,27.633962631225586
1783136446.2947905,162000,33.3367805480957
1783136799.7369144,166500,29.576414108276367
1783137137.9364467,171000,39.3900146484375
1783137489.603827,175500,30.439090728759766
1783137845.8140898,180000,28.625680923461914
1783138191.6760814,184500,35.25721740722656
1783138546.469897,189000,32.6033935546875
1783138893.4931808,193500,35.45481491088867
1783139244.2525594,198000,33.468143463134766
1783139593.953058,202500,31.109804153442383
1783139949.3859959,207000,27.145273208618164
1783140293.6293623,211500,34.87570571899414
1783140636.3401985,216000,35.35166549682617
1783140979.2523518,220500,38.187042236328125
1783141323.1057343,225000,35.10063171386719
1783141664.3079221,229500,36.30580139160156
1783142004.6637902,234000,37.46623229980469
1783142354.7644954,238500,32.14751434326172
